Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Port alive Duration (S),Connection Point,Packets Looked Up,Packets Matched,Label
2,3362,69437146,99443037,415957,1667,4,2,992886,992762,0
3,1734,19050121,121591,936,1262,5,4,6836,6632,4
3,121248,68189138,82767916,318615,1797,4,3,995139,995015,0
4,350945,27479700,91010745,214554,2147,5,4,662305,662174,0
1,4699,100986365,124570415,413324,2227,5,1,663761,663626,0
3,173335,19918654,11928681,282924,877,4,3,642079,641961,0
3,123,16510,6319800,293,131,4,3,1531,1429,3
2,5652,151383622,99429189,413544,2427,5,2,667633,667497,0
1,177786,13810922,12613856,299416,830,5,2,948717,948593,0
1,316466,95168038,70134836,317443,1787,5,1,995121,994997,0
2,185555,26775290,36631859,120418,1620,5,2,512041,511960,0
1,9007,183176508,237352,1738,2577,4,3,15427,15188,4
2,2647,19184646,101197001,5895,2816,5,2,17114,16980,1
4,305052,25498737,93923340,284346,1567,5,4,991853,991729,0
2,2829,56812244,75941418,4784,2637,5,3,17634,17411,4
4,4790,75912849,88498050,4808,1907,5,4,12432,12307,1
2,1418,18972188,50628666,3056,1927,5,2,13058,12931,1
2,708,12640908,12633305,597,161,5,2,4438,4333,2
1,316466,95168038,70136504,317455,1807,4,1,995220,995096,0
1,2271,37904924,79758292,247494,1670,5,1,651839,651715,0
3,176394,81759703,81394646,286308,1477,4,3,652270,652144,0
3,2692,31711129,50612526,3060,1496,4,3,9976,9848,1
1,2029,56762700,35380063,239721,1830,5,1,512729,512647,0
3,825,12649226,26777,252,166,5,3,1364,1246,3
1,873,18904726,18956998,1025,226,5,1,2780,2682,3
4,352546,46498038,91920837,215851,2887,4,4,674300,674163,0
2,5790,130159388,136713637,251500,2900,5,2,667328,667193,0
2,3465,82027005,84578875,411526,1757,5,2,656040,655914,0
3,172953,13594083,12674317,151160,735,5,3,641183,641067,0
2,77,10505,10547,78,71,5,2,30151,30061,3
4,259,27589,6323959,328,176,5,4,1308,1209,2
3,182180,190488731,226606645,292737,2907,4,3,674557,674420,0
3,2651,31721205,19149185,2810,1776,5,3,12589,12469,1
1,6221,126256781,169831648,415422,2837,5,1,672769,672632,0
1,1900,258748,113826458,6571,2816,5,1,23691,23552,1
1,293,31773,18948742,912,216,5,1,2793,2680,3
2,524,6327566,18936092,771,146,5,2,2367,2272,2
1,2743,31740278,31754599,2940,2092,5,1,11654,11523,1
2,3076,63125992,93125736,415635,1587,5,2,992079,991955,0
2,891,115295,19043825,1689,1192,5,3,4612,4468,4
2,65,8842,8952,63,56,5,3,358,263,2
1,282,6311008,6335591,471,216,5,1,1671,1572,2
1,1109,31533617,22678463,238465,1120,5,1,509286,509205,0
4,351914,40147292,91061692,215029,2537,5,4,668410,668274,0
1,143,18898,6329395,420,156,5,1,2071,1969,3
1,3717,75746138,101130428,5427,2182,5,2,19376,19152,4
2,186737,39467069,36693459,120912,2210,5,2,515621,515534,0
2,5682,126219886,136708487,251429,2890,5,2,667137,667002,0
4,348827,14692092,21491470,210875,827,5,4,641560,641442,0
1,5667,119927306,149838910,414583,2577,4,1,669051,668915,0
4,350456,21140521,59450547,213267,1837,4,4,657163,657037,0
4,349814,14825130,76080549,158337,2330,5,4,660674,660539,0
4,349355,14761285,57083699,157032,1630,5,4,651761,651637,0
2,202,26576,26604,202,236,5,2,232062,232000,3
3,1385,12729271,37958801,2317,1141,5,4,7452,7255,4
1,1939,31590495,69477408,246883,1335,5,1,648465,648341,0
2,285754,112917341,25551356,305485,2070,4,4,960257,960118,0
1,59659,3221858,3237706,59773,136,5,1,119960,119856,3
1,3747,82046511,99301251,412062,1877,4,1,657523,657396,0
2,1898,12801324,38082910,3582,1926,5,2,11208,11081,1
3,119264,36569768,51162847,316842,1227,4,3,986165,986041,0
1,1938,264030,120150413,7005,2876,5,1,24239,24100,1
3,175548,70420489,25339676,151986,1295,4,3,647540,647416,0
4,352514,46493590,91114486,215597,2837,5,4,672769,672632,0
4,349740,14777805,40457686,211869,1347,4,4,650115,649989,0
2,186452,39434045,36659901,120619,1930,5,2,513138,513056,0
2,185358,26755381,30315773,120153,1480,5,2,511463,511382,0
3,350,31288,6318144,282,116,4,3,56659,56563,3
2,948,25231025,22958160,245315,1075,5,2,644814,644690,0
3,177972,114652671,112962266,287670,1837,5,3,657163,657037,0
3,133,17896,17896,133,146,5,3,117989,117886,3
4,6310,19237939,6482930,3226,166,5,4,12981,12878,2
2,188,6304558,17158375,407680,717,5,2,640653,640535,0
2,184373,14075871,11338559,119077,840,5,2,507307,507231,0
4,289,25432,12079,90,86,5,5,1339,1240,3
1,65,9068,9078,66,56,5,1,1176,1091,2
1,4187,82076738,117676908,249628,2170,4,1,658063,657932,0
2,4471,75873012,197866,1462,2136,5,3,14248,14117,1
2,4060,69559369,56967805,3929,1742,5,3,15049,14823,4
4,348989,14705759,27800319,211090,887,5,4,642097,641979,0
4,55788,3024401,6318320,286,116,5,4,111825,111731,3
3,51,7090,7032,49,36,5,3,22690,22603,3
4,349332,14736845,27824293,211328,1057,5,4,644991,644868,0
1,1953,6399753,119150,2003,126,5,1,4741,4651,2
2,4190,50736490,82244524,4930,2667,5,3,12187,12024,4
4,349512,14783011,76022958,157814,1870,5,4,655089,654965,0
4,306161,31916405,163476299,288669,2657,5,4,1007039,1006904,0
2,2237,31661941,104837,792,1101,5,2,5918,5789,1
3,122249,87150115,89137131,319487,2187,5,3,999094,998964,0
1,517,6327138,29215826,244985,825,5,1,642692,642576,0
2,184833,20411119,23970893,119619,1110,5,2,509274,509193,0
3,3429,50627225,44314952,3103,1296,5,3,11469,11348,1
2,2239,56777117,55086314,409944,1237,5,2,648193,648067,0
3,177074,95706200,81408515,286422,1607,4,3,654113,653987,0
1,2861,63111009,72847440,241103,2200,4,1,515569,515484,0
1,1704,44157633,25416433,2579,1576,4,1,10584,10456,1
3,117657,11270368,25862755,315231,707,5,4,978891,978775,0
1,2438,39096081,86068045,247737,1705,5,1,652503,652379,0
2,2601,63089094,50742114,4254,2677,5,3,20361,20137,4
2,2329,44200251,80476660,414824,1357,5,2,988892,988768,0
3,162,21474,26586,236,186,4,3,196683,196581,3
2,3263,69424200,82296646,5433,3077,5,3,21664,21441,4
4,2524,6443328,6428079,2302,131,5,4,9391,9302,2
2,286526,125168066,25567306,305598,2240,4,4,961938,961795,0
1,3322,88303136,50796020,4869,2937,5,2,20607,20381,4
1,2271,37904924,79752930,247455,1610,4,1,651442,651318,0
2,681,86988,19016088,1488,902,5,3,4155,4037,4
2,3052,6463817,19074653,3319,166,4,2,7516,7423,2
3,181093,166421144,207682761,292119,2757,4,3,671191,671054,0
2,1098,18948078,31638215,1957,1062,5,3,6930,6761,4
2,285065,106565590,25518837,305198,1790,5,4,957977,957845,0
1,1393,37844601,28997720,238810,1210,5,1,509974,509893,0
4,305733,25585974,144547525,288015,2447,5,4,1003616,1003482,0
3,178332,127257753,50628842,153442,1800,5,3,653828,653704,0
4,305431,25543855,112909632,285699,1987,5,4,996857,996732,0
1,2937,61281348,86649379,411195,1677,5,1,655012,654886,0
4,349389,14766011,57088459,157066,1680,5,4,652156,652032,0
1,4588,100978744,118260322,413106,2157,4,1,662475,662344,0
2,7182,182946112,137329917,415448,2887,4,2,674300,674163,0
1,577,37141,18065,190,66,5,1,1397,1302,2
3,124411,118792812,133363220,321655,2987,5,3,1011545,1011410,0
4,787,6355970,22208,168,191,5,5,1940,1847,2
3,123619,106140146,120718559,320982,2647,4,3,1007021,1006886,0
2,1036,12654416,37926542,1969,947,5,2,7635,7516,1
2,88,11937,11937,88,86,5,2,1219,1116,3
4,349133,14731009,38127399,156062,1295,4,4,647540,647416,0
1,961,6399126,19012461,1386,906,5,1,5037,4919,1
2,184335,14070943,5030204,118865,790,5,2,506942,506866,0
3,177227,100175296,87716744,286631,1657,5,3,654665,654539,0
2,286095,119236271,25559502,305545,2160,4,4,961006,960867,0
2,39931,8457461,20972,221,86,5,2,40314,40218,3
1,299,6312149,6328587,424,131,5,1,947,878,2
1,182778,95227142,12754692,300438,2380,5,2,963300,963156,0
4,351928,40149238,91063652,215043,2557,5,4,668727,668591,0
1,30463,14211244,6313698,246,71,5,1,30858,30751,3
1,517,6327138,29221314,245027,885,5,1,643281,643165,0
1,4741,101052561,141183,1046,1512,5,3,8813,8592,4
2,184865,20415599,23975373,119651,1160,5,2,509619,509538,0
2,7641,182977594,162557146,416239,3037,5,2,676534,676397,0
3,175870,76738631,68773169,285812,1377,4,3,650457,650331,0
1,277,25269,18928571,681,126,5,1,1545,1442,1
2,1727,6387616,104240,1748,106,5,2,4459,4368,2
1,316852,101486054,82785917,318163,2197,5,1,999260,999130,0
1,6183,126254253,168777566,415362,2807,5,1,672146,672009,0
1,3835,69469620,117648513,249318,2020,4,1,656925,656797,0
2,136,18022,17718,128,146,5,2,564,499,3
1,5101,107305433,137197090,413874,2357,5,1,666181,666045,0
1,222,6306714,36064,362,234,5,2,2119,1971,4
2,248,17138,12626037,492,156,5,2,1578,1480,2
1,360,12607826,41966,418,246,5,1,979,908,3
3,123481,106128825,114403398,320664,2607,5,3,1006539,1006404,0
3,141,18814,12633127,594,156,5,3,1591,1493,2
2,3172,31744996,142089,1060,1516,5,2,8059,7929,1
1,4588,100978744,118263962,413132,2197,5,1,662982,662851,0
4,3947,57009793,63313447,4553,2557,4,4,18280,18145,1
3,182646,203094408,94867741,155700,2730,4,3,665614,665479,0
2,97,12961,12919,96,96,5,2,87125,87068,3
2,7169,126977468,225699174,421315,2947,4,2,1010347,1010212,0
4,306561,38251246,176183963,290254,3007,5,4,1011587,1011452,0
3,291,27509,19522,170,146,5,3,2071,1971,1
1,1566,44147962,29025235,239065,1430,5,1,510827,510746,0
2,10,856,9292,69,56,5,2,516,430,2
3,1006,61971,12813,95,96,5,3,3413,3315,2
2,1528,6473214,25378145,1972,1687,5,2,4272,4193,1
1,180660,58094703,12706179,300090,1850,4,2,958536,958404,0
4,350246,14885178,107666260,159757,3000,5,4,668208,668073,0
2,1116,31533940,29998838,412954,967,5,2,982931,982815,0
4,120913,19134907,19227691,122571,246,5,4,245683,245584,3
3,178567,124400650,125591828,288234,2007,5,3,659510,659382,0
4,4064,56986181,69577509,4191,1942,4,5,12229,12018,4
3,179873,158837964,63276729,154136,2170,5,3,658063,657932,0
2,5770,94869335,262362,1926,2856,5,3,19439,19306,1
1,251,16978,12630282,564,184,5,2,1864,1721,4
2,288812,163488516,31921131,306195,2710,5,4,965971,965827,0
2,230,23523,6318916,286,126,5,2,517,457,3
3,121105,68177069,76460107,318410,1747,4,3,994351,994227,0
4,351830,40135616,91050212,214947,2407,5,4,667312,667176,0
1,756,18926423,12656868,886,246,5,1,2105,2040,3
2,3420,75732649,86153637,248670,2170,5,2,658063,657932,0
1,182487,89700065,12750244,300406,2330,5,2,962788,962645,0
3,657,18925969,22832,256,106,5,3,1182,1078,1
4,350546,21153031,59470572,213465,1977,4,4,658722,658595,0
1,314141,38385058,25867234,314679,957,5,1,982618,982502,0
2,205,26740,26740,205,241,5,2,255001,254900,3
3,120709,55563843,76438731,318146,1677,5,3,992910,992786,0
4,349886,14835138,76090629,158409,2440,5,4,661973,661838,0
4,349019,14715551,31793465,155554,1125,5,4,645789,645665,0
4,349284,14751513,44466788,156610,1520,4,4,650526,650402,0
4,1106,25255510,6338714,497,251,5,4,3200,3104,3
1,2271,37904924,79735766,247331,1420,5,1,649473,649349,0
4,350753,27461118,69200080,213871,2027,5,4,659828,659700,0
2,285733,112914358,25548651,305466,2040,5,4,959976,959842,0
3,120911,61871009,76449572,318277,1717,5,3,993554,993430,0
2,2990,75703100,67736174,410766,1467,5,2,651961,651835,0
4,304633,19161960,62297854,282142,1197,4,4,985824,985701,0
1,314141,38385058,25870140,314702,987,5,1,983013,982897,0
3,7102,120111066,12821224,2109,2082,5,4,18241,18008,4
1,49,3586,38557,327,367,4,1,612,546,1
2,548,18912052,17359897,412252,787,4,2,979918,979802,0
2,2210,44192100,74171245,414635,1337,4,2,988274,988150,0
4,350365,21127969,59429556,213054,1697,5,4,655152,655026,0
3,1802,19051881,19050631,1779,1161,5,3,7714,7594,1
2,283,6317636,14093,107,106,5,2,1229,1138,2
3,121653,74516722,82798625,318943,1977,4,3,996832,996708,0
3,142,18856,6330186,427,156,5,3,1309,1216,2
2,948,25231025,22961800,245341,1115,5,2,645771,645647,0
3,2026,31657166,123185,924,1306,5,4,6410,6278,1
1,566,12621456,6418834,1193,1022,5,2,4461,4294,4
3,177637,120913672,44315554,153197,1690,5,3,652176,652052,0
1,118,15779,15541,113,126,5,1,861,748,3
4,79,10589,10711,80,71,5,4,821,733,3
2,3975,75770733,124687226,416931,1917,5,2,996156,996032,0
2,133978,38722448,58275,660,246,5,2,135012,134907,3
4,1540,19022071,95785,781,906,5,4,5713,5592,1
3,378,6324143,13091,97,101,4,3,657,560,2
3,1669,25326171,6400530,902,1013,5,3,4268,4145,2
3,5135,82265958,57054194,4465,2837,5,4,22002,21777,4
2,1158,118564,25296310,1330,836,5,2,3608,3536,1
3,171,22726,18947571,907,196,5,4,200975,200875,3
1,178659,20178919,12647783,299665,1200,5,2,952155,952023,0
2,186516,39443005,36676356,120792,2030,5,2,513832,513749,0
2,285537,112894538,25535793,305373,1900,5,4,958943,958810,0
3,109020,24785922,31283,297,201,5,3,211992,211893,3
3,174771,57776628,19021088,151703,1125,5,3,645789,645665,0
2,13978,759622,7966,58,46,4,2,14313,14230,3
2,516,12628912,22124,169,191,5,2,1412,1297,3
2,289980,176162073,38245130,306517,2940,4,4,968715,968571,0
2,60954,9594440,14507,103,116,5,3,108726,108632,3
1,1709,25283377,67101421,246673,1285,4,1,647522,647398,0
1,132,9235,23457565,407766,757,4,1,640737,640619,0
1,2361,56785771,44375629,3566,1946,5,1,13090,12961,1
1,4218,107244720,79633189,242324,2560,5,1,519051,518963,0
3,118668,23936286,51126977,316460,1017,5,3,983363,983244,0
3,118451,17627170,51114054,316310,957,5,3,982618,982502,0
2,2280,12850502,31771076,2952,2427,5,2,7253,7169,1
4,305689,25579858,138207308,287353,2377,5,4,1001785,1001651,0
1,791,12655839,43695,351,404,5,2,3763,3605,4
3,179020,127319660,135055434,288557,2097,5,3,661078,660947,0
2,1499,6376866,6386507,1567,66,5,2,3197,3112,2
4,349127,14730175,34318732,155958,1285,4,4,647522,647398,0
2,3216,75718589,73525234,248165,1940,4,2,656373,656246,0
4,306567,38252080,176711345,290291,3017,4,4,1011624,1011489,0
4,304668,19166534,68620525,282564,1247,5,4,986491,986367,0
2,4473,113546038,88611606,6030,2697,5,3,24116,23888,4
2,2729,50519206,93101420,415353,1477,4,2,990748,990624,0
3,3083,44312152,50624445,3409,1266,5,3,9853,9722,1
4,350240,14884344,107665420,159751,2990,5,4,668190,668055,0
1,1566,44147962,29020755,239033,1380,5,1,510763,510682,0
3,1423,12719970,6415378,1227,846,5,3,5343,5231,1
2,1910,44171499,48234659,246629,1520,4,2,650526,650402,0
3,55485,15600491,6319062,290,126,4,3,55993,55889,3
4,3562,19088649,6481884,3220,181,5,4,8866,8767,2
1,11,926,16434,119,131,5,1,355,260,2
3,902,12664964,12656485,782,447,5,3,2105,2001,1
2,288619,163469349,31901288,305992,2580,4,4,965153,965009,0
1,1712,25263240,50694205,3609,2537,4,1,13381,13256,1
1,319652,164593004,140319011,321349,2967,5,1,1010958,1010823,0
3,585,6350925,31568355,1337,396,5,3,2656,2542,1
2,1635,31570120,44305411,2830,1516,5,2,10014,9886,1
3,530,67294,65184,506,661,5,4,2856,2732,1
4,349395,14766845,57089299,157072,1690,5,4,652176,652052,0
1,6183,126254253,168776446,415354,2797,4,1,671838,671701,0
1,2245,56777549,48001411,240172,1990,5,1,513781,513699,0
2,1471,12742040,19076557,2098,1266,5,2,7778,7652,1
4,8206,164274676,107609502,7599,3147,5,5,22075,21848,4
2,186151,33120459,36657101,120599,1900,5,2,512819,512737,0
1,190,6304713,10299579,244416,765,5,1,641252,641136,0
2,283428,81268803,25481973,304930,1380,4,4,954140,954008,0
1,5560,119919948,143528483,414359,2497,5,1,668139,668003,0
1,639,18918424,6342620,635,126,5,1,3443,3389,2
1,481,12616096,16334710,237838,920,5,1,507717,507640,0
4,303946,19093975,18093926,280063,727,5,4,979216,979100,0
3,180294,165161293,75494689,154503,2230,5,3,658996,658861,0
2,1710,37866290,55245857,413952,1247,5,2,986491,986367,0
1,1566,44147962,29015071,238991,1320,5,1,510681,510600,0
2,3387,82021837,80369445,411358,1677,5,2,655012,654886,0
2,186113,33115139,36651781,120561,1840,4,2,512741,512659,0
1,453,57886,6393680,1096,581,5,1,4517,4395,1
1,2245,56777549,48002251,240178,2000,5,1,513793,513711,0
1,319262,159061353,127044556,320865,2907,4,1,1009529,1009394,0
2,1138,68395,6379337,1421,81,5,2,2684,2577,2
3,4124,44462020,88646914,6260,3106,5,4,26027,25799,4
2,4642,88399564,143632909,417815,2147,4,2,998294,998164,0
1,190,6304713,10294049,244373,705,4,1,640552,640436,0
1,821,25222375,6353007,765,156,5,1,7108,7014,2
2,947,25230955,22945875,245223,945,5,2,643698,643582,0
2,566,12636003,45467,457,266,5,2,1324,1258,3
4,304484,19149541,55982627,281829,1147,5,4,985046,984923,0
2,97,12929,6332312,505,96,5,2,774,664,3
4,304994,25490675,92601579,284247,1477,4,4,990748,990624,0
4,349167,14735541,38131963,156096,1345,4,4,648483,648359,0
4,155,16519,17441,167,124,4,5,717,577,4
4,305236,25524119,110525884,285437,1847,5,4,995786,995662,0
2,184380,14076753,11339441,119084,850,5,2,507323,507247,0
1,11,942,9258,68,61,5,1,38220,38136,3
1,1414,18971394,66741818,409719,1367,5,1,650373,650247,0
3,1675,19041879,113349,877,1172,5,4,6118,5920,4
1,315333,69924326,44860139,316083,1447,4,1,990380,990256,0
4,305066,25500683,98652196,284485,1587,5,4,992079,991955,0
3,248,25833,18300,138,151,4,3,3226,3111,2
3,4295,69575162,63280407,4273,1566,4,3,12421,12290,1
2,3595,82036161,86163908,248801,2200,5,2,658405,658274,0
3,122717,93486431,89168992,319765,2457,5,3,1003727,1003593,0
4,349767,14781461,40468661,212002,1387,5,4,650475,650349,0
3,118723,23943801,51134408,316513,1097,5,3,984641,984519,0
2,3609,82037082,92996174,411848,1897,5,2,657565,657438,0
2,13,1102,11081,83,76,5,2,1115,1025,3
1,3669,75750455,94875320,5631,2537,5,1,17508,17377,1
1,282,6311008,6330099,428,156,5,1,984,885,2
3,123333,106115820,101791396,320280,2547,5,3,1005683,1005548,0
3,172982,13597823,12677957,151186,775,5,3,641270,641154,0
1,319,34147,25662557,125193,231,4,1,127269,127154,3
1,11,926,12751,97,91,5,1,91380,91288,3
4,305557,25561170,119237661,286105,2177,5,4,998936,998806,0
2,749,18925951,12651809,838,206,5,2,2791,2694,3
3,172988,13598657,12678839,151193,785,5,3,641572,641456,0
4,305158,25513277,100241028,284624,1727,5,4,993741,993617,0
2,235,23025,79913,1325,106,5,2,1885,1791,2
4,915,12671008,6368024,744,572,5,4,3244,3126,1
2,188606,64791326,61966073,122030,2860,5,2,521214,521126,0
2,2302,50489882,60868920,247229,1740,4,2,652563,652439,0
1,2028,56762630,35359259,239571,1600,5,1,511907,511826,0
2,1490,37851288,42449332,409211,1157,5,2,646275,646150,0
1,287,6318386,6334806,527,116,4,1,50920,50817,3
1,426,6320781,12626536,550,81,5,1,1053,989,3
2,256,17890,12663246,802,562,5,2,2507,2391,1
1,2845,25467917,69582182,4336,2336,5,1,14095,13963,1
1,268,28103,18938731,795,176,5,1,8136,8027,2
2,177,23462,23388,176,206,5,4,5370,5268,2
1,182871,96024676,12763866,300504,2480,5,2,964378,964234,0
3,121197,68184183,80663817,318536,1767,5,3,994679,994555,0
4,349950,14844034,76099589,158473,2540,4,4,663067,662932,0
2,2302,50489882,60868080,247223,1730,4,2,652545,652421,0
2,184308,14067457,5026718,118838,750,4,2,506884,506808,0
1,3388,25527782,258112,1871,2826,5,1,15512,15370,1
3,138,18688,19047242,2849,156,5,3,5673,5568,2
1,2029,56762700,35384543,239753,1880,5,1,512793,512711,0
2,289215,169810732,38230674,306413,2780,5,4,967063,966919,0
1,316253,88861760,68021170,317239,1737,5,1,994045,993921,0
3,173472,30148687,12690078,151330,825,5,3,642692,642576,0
1,517,6327088,18943325,827,221,5,1,231483,231377,3
1,59,8008,6318564,337,46,5,1,726,639,2
2,7213,182948178,137991309,415507,2927,5,2,674941,674804,0
2,82832,10780700,16720688,76273,176,5,2,167281,167173,3
4,349003,14707511,27802363,211106,907,5,4,642421,642302,0
3,175248,70397069,21657690,151851,1235,5,3,646867,646743,0
3,1715,232992,6565425,2269,2557,5,3,17548,17417,1
1,180602,58086641,12698117,300032,1760,5,2,957731,957599,0
2,289424,169829333,38238736,306471,2870,5,4,967914,967770,0
1,1735,44159692,25389768,2390,1296,5,1,5608,5531,1
1,2557,50508047,69572861,4080,1887,5,1,12119,11995,1
2,274,6316482,12939,98,96,5,2,959,868,2
2,2902,56822566,93111281,415478,1507,5,2,991364,991240,0
4,7143,107582262,76015974,5477,3216,5,5,24258,24027,4
2,1103,18948384,31646659,2017,1142,5,3,7452,7255,4
4,348834,14692968,21492352,210882,837,5,4,641586,641468,0
2,93,12535,12283,87,91,5,3,41349,41240,3
3,322,6322760,26817,254,161,5,3,1030,930,2
3,188,17474,6312397,238,56,5,3,544,450,3
1,184154,125359141,12797782,300748,2860,4,2,967823,967679,0
2,281611,49673084,19134661,304312,1080,4,4,950928,950797,0
1,315717,76242183,57485559,316622,1567,5,1,991853,991729,0
2,1081,18949052,31603898,1692,641,5,2,4741,4621,1
