Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label
3,172960,13594959,12675157,151166,745,0,0,0,0,5,598,560,4,4,0,0,0,0,3,0,0,0,0,0,1,0,4,641204,641088,-1,0
1,181640,77046058,12725356,300228,2060,0,0,0,0,84,5963,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,5,960112,959974,-1,0
3,177966,114651837,112961146,287662,1827,0,0,0,0,4,556,350,3,4,0,0,0,0,3,0,0,0,0,0,1,0,6,657145,657019,-1,0
1,2006,31642993,6429949,1308,1092,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,5,8369,8195,-1,4
4,275,6317438,22168,223,111,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,1,0,5,892,805,-1,3
2,13,1102,11963,90,86,0,0,0,0,0,0,322,3,4,0,0,0,0,2,0,0,0,0,0,1,0,6,1136,1046,-1,3
2,98,13165,6324117,382,101,0,0,0,0,4,556,2285,26,4,0,0,0,0,2,748,7483,748,7483,748,1,0,5,657,560,-1,2
1,5964,126239134,149305621,251687,2810,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,1,0,6,666981,666846,-1,0
1,828,6348516,37855456,1363,236,0,0,0,0,1,70,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,6,245185,245080,-1,3
4,376,51548,55006,441,562,0,0,0,0,2,278,556,4,5,0,0,0,0,4,0,0,0,0,0,1,0,4,2603,2494,-1,1
1,315891,82545609,57503656,316808,1687,0,0,0,0,0,0,278,2,4,0,0,0,0,1,0,0,0,0,0,1,0,6,993094,992970,-1,0
1,155,20372,12627284,504,171,0,0,0,0,4,556,556,4,4,0,0,0,0,1,0,0,0,0,0,1,0,5,4579,4473,-1,2
2,193,18356,8177524,34766,66,0,0,0,0,5,759,913,8,5,0,0,0,0,2,0,0,0,0,0,1,0,5,35268,35166,-1,3
1,3746,82046441,99295651,412022,1817,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,7681,0,7681,0,1,0,6,657127,657001,-1,0
2,997,18943252,25358932,1956,1276,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,8787,8667,-1,1
2,147,19260,19260,147,161,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,1,0,4,977,862,-1,3
2,5405,119909364,130381017,251032,2700,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,7219,0,7219,0,1,0,8,665375,665240,-1,0
2,1429,31555483,48920593,413563,1087,0,0,0,0,0,0,556,4,5,0,0,0,0,2,630356,6303568,630356,6303568,630356,1,0,8,984623,984501,-1,0
4,6692,101255562,69688658,5017,3106,0,0,0,0,5,598,560,4,5,0,0,0,0,5,0,0,0,0,0,1,0,7,22821,22594,-1,4
3,228,23556,15831,120,126,0,0,0,0,3,350,278,2,4,0,0,0,0,3,0,0,0,0,0,1,0,4,1317,1213,-1,3
2,1596,36256056,31727100,2737,1786,0,0,0,0,126,4727122,5592,80,5,0,0,0,0,2,0,0,0,0,0,1,0,6,11272,11152,-1,1
2,121,8642,100480,821,972,0,0,0,0,0,0,556,4,4,0,0,0,0,3,0,0,0,0,0,1,0,4,3833,3667,-1,4
2,1745,31577681,50630464,3159,1756,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,4,11217,11088,-1,1
1,315695,76240454,56036977,316552,1527,0,0,0,0,83,5498,4859014,134,4,0,0,0,0,1,0,0,0,0,0,1,0,8,991697,991573,-1,0
1,2566,44216608,86077701,247841,1760,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,8,653174,653050,-1,0
2,280294,24404791,19109446,304118,810,0,0,0,0,2,278,3737,48,4,0,0,0,0,4,0,6303353,0,6303353,0,1,0,6,948538,948414,-1,0
1,235,16260,12624527,481,141,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,8,135344,135238,-1,3
3,122270,87153471,89140209,319506,2217,0,0,0,0,4,556,278,2,5,0,0,0,0,3,0,0,0,0,0,1,0,4,999306,999172,-1,0
1,1007,12652258,48157109,245796,1075,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,4,644814,644690,-1,0
2,184328,14070061,5029322,118858,780,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,1,0,4,506926,506850,-1,0
2,6324,164012770,118384348,414499,2757,0,0,0,0,0,0,280,2,4,0,0,0,0,2,0,0,0,0,0,1,0,6,671191,671054,-1,0
1,5151,101017374,142955467,250960,2620,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,663787,663652,-1,0
3,1802,19066047,25394567,2342,1522,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,1,0,205,11218,11011,-1,4
3,178217,120966059,119282716,288019,1947,0,0,0,0,4,556,280,2,4,0,0,0,0,3,0,0,0,0,0,1,0,6,658221,658094,-1,0
3,179555,139945353,140991819,289026,2217,0,0,0,0,5,626,2758550,86,5,0,0,0,0,3,262692,2626926,262692,2626926,262692,1,0,10,663601,663466,-1,0
2,2501,63082498,44428538,4008,2557,0,0,0,0,0,0,278,2,5,0,0,0,0,3,429,6282,429,6282,429,1,0,8,19067,18843,-1,4
3,181729,196731515,88547300,155405,2540,0,0,0,0,4,556,560,4,4,0,0,0,0,3,0,0,0,0,0,1,0,4,663067,662932,-1,0
2,284288,93915278,25490953,304996,1480,0,0,0,0,115,4464457,556,4,4,0,0,0,0,4,446417,6310836,446417,6310836,446417,1,0,6,955581,955449,-1,0
2,185755,26794535,36642821,120497,1740,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,4,512318,512237,-1,0
2,2591,50509506,85870007,415088,1387,0,0,0,0,89,5894,5384028,145,4,0,0,0,0,2,459585,4602873,459585,4602873,459585,1,0,6,989502,989378,-1,0
3,176230,89345641,31665702,152431,1380,0,0,0,0,108,4070925,4467,59,5,0,0,0,0,3,397,7021,397,7021,397,1,0,6,648822,648698,-1,0
1,434,6321551,12658889,822,437,0,0,0,0,140,5645609,5589,76,5,0,0,0,0,1,654,7021,654,7021,654,1,0,6,1589,1520,-1,1
3,176091,76755869,75081076,286018,1427,0,0,0,0,83,5790,280,2,5,0,0,0,0,3,0,0,0,0,0,1,0,8,651326,651200,-1,0
1,178738,20189803,12658473,299744,1320,0,0,0,0,4,556,278,2,5,0,0,0,0,2,0,0,0,0,0,1,0,4,953359,953227,-1,0
2,865,12655121,37881168,118346,236,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,7,119496,119436,-1,3
4,278,6317370,14081,105,106,0,0,0,0,4,556,560,4,4,0,0,0,0,5,0,0,0,0,0,1,0,6,617,531,-1,3
1,6071,126246544,162468539,415148,2747,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,6,671091,670954,-1,0
3,180856,165219649,195049937,291472,2637,0,0,0,0,2,278,560,4,5,0,0,0,0,3,0,0,0,0,0,1,0,4,669448,669311,-1,0
3,123353,106118600,108097258,320471,2577,0,0,0,0,4,556,278,2,4,0,0,0,0,3,0,0,0,0,0,1,0,7,1006198,1006063,-1,0
1,9374,183205462,246248,1802,2677,0,0,0,0,66,4648,556,4,5,0,0,0,0,3,0,0,0,0,0,1,0,5,15994,15755,-1,4
3,183233,209430489,101186334,156034,2820,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,1,0,4,666999,666864,-1,0
4,349689,14807512,76062809,158212,2140,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,1,0,4,658000,657869,-1,0
1,1007,12652258,48153469,245770,1035,0,0,0,0,0,0,322,3,5,0,0,0,0,1,0,0,0,0,0,1,0,4,644735,644612,-1,0
1,181762,77055867,12728136,300248,2090,0,0,0,0,2,278,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,960411,960272,-1,0
2,1510,19033597,19041287,1625,1221,0,0,0,0,5,740,740,5,5,0,0,0,0,3,0,0,0,0,0,1,0,4,5342,5191,-1,4
1,156,20608,20608,156,176,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,1,0,6,2188,2079,-1,3
1,5667,119927306,149838070,414577,2567,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,8,668842,668706,-1,0
4,350333,21123521,59416977,212906,1647,0,0,0,0,4,556,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,4,654473,654347,-1,0
1,4327,107252211,85942990,242543,2630,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,519423,519335,-1,0
1,190,6304713,10300699,244424,775,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,641270,641154,-1,0
1,496,12617073,6338481,549,161,0,0,0,0,102,7008,5908427,148,4,0,0,0,0,1,0,0,0,0,0,1,0,6,1294,1198,-1,3
4,683,12637050,6332658,494,116,0,0,0,0,144,5646165,5651,77,5,0,0,0,0,4,0,0,0,0,0,1,0,8,1444,1349,-1,3
2,948,25231025,22960120,245329,1095,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,645426,645302,-1,0
4,349365,14762675,57085099,157042,1645,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,4,651803,651679,-1,0
4,303990,19099703,18099376,280105,787,0,0,0,0,4,556,556,4,4,0,0,0,0,4,0,0,0,0,0,1,0,4,979918,979802,-1,0
3,118929,30251676,51147620,316673,1147,0,0,0,0,4,556,278,2,5,0,0,0,0,3,0,0,0,0,0,1,0,4,985046,984923,-1,0
2,3362,69437146,99443037,415957,1667,0,0,0,0,0,0,556,4,4,0,0,0,0,2,0,0,0,0,0,1,0,6,992886,992762,-1,0
3,1734,19050121,121591,936,1262,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,1,0,6,6836,6632,-1,4
3,121248,68189138,82767916,318615,1797,0,0,0,0,2,278,556,4,4,0,0,0,0,3,0,0,0,0,0,1,0,6,995139,995015,-1,0
4,350945,27479700,91010745,214554,2147,0,0,0,0,3,320,602,5,5,0,0,0,0,4,0,0,0,0,0,1,0,8,662305,662174,-1,0
1,4699,100986365,124570415,413324,2227,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,8,663761,663626,-1,0
3,173335,19918654,11928681,282924,877,0,0,0,0,4,556,560,4,4,0,0,0,0,3,0,0,0,0,0,1,0,5,642079,641961,-1,0
3,123,16510,6319800,293,131,0,0,0,0,5,759,759,5,4,0,0,0,0,3,0,0,0,0,0,1,0,6,1531,1429,-1,3
2,5652,151383622,99429189,413544,2427,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,667633,667497,-1,0
1,177786,13810922,12613856,299416,830,0,0,0,0,4,556,278,2,5,0,0,0,0,2,0,0,0,0,0,1,0,5,948717,948593,-1,0
1,316466,95168038,70134836,317443,1787,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,1,0,8,995121,994997,-1,0
2,185555,26775290,36631859,120418,1620,0,0,0,0,64,4647,280,2,5,0,0,0,0,2,0,0,0,0,0,1,0,5,512041,511960,-1,0
1,9007,183176508,237352,1738,2577,0,0,0,0,4,556,556,4,4,0,0,0,0,3,0,0,0,0,0,1,0,4,15427,15188,-1,4
2,2647,19184646,101197001,5895,2816,0,0,0,0,4,556,3545845,96,5,0,0,0,0,2,0,0,0,0,0,1,0,5,17114,16980,-1,1
4,305052,25498737,93923340,284346,1567,0,0,0,0,2,278,556,4,5,0,0,0,0,4,0,0,0,0,0,1,0,4,991853,991729,-1,0
2,2829,56812244,75941418,4784,2637,0,0,0,0,127,5382334,4186,59,5,0,0,0,0,3,0,0,0,0,0,1,0,8,17634,17411,-1,4
4,4790,75912849,88498050,4808,1907,0,0,0,0,55,4051,3808109,100,5,0,0,0,0,4,630328,6303287,630328,6303287,630328,1,0,6,12432,12307,-1,1
2,1418,18972188,50628666,3056,1927,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,13058,12931,-1,1
2,708,12640908,12633305,597,161,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,1,0,5,4438,4333,-1,2
1,316466,95168038,70136504,317455,1807,0,0,0,0,0,0,556,4,4,0,0,0,0,1,0,0,0,0,0,1,0,5,995220,995096,-1,0
1,2271,37904924,79758292,247494,1670,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,4,651839,651715,-1,0
3,176394,81759703,81394646,286308,1477,0,0,0,0,136,4990048,5902,85,4,0,0,0,0,3,144503,6303352,144503,6303352,144503,1,0,9,652270,652144,-1,0
3,2692,31711129,50612526,3060,1496,0,0,0,0,37,3011,1576865,52,4,0,0,0,0,3,0,0,0,0,0,1,0,6,9976,9848,-1,1
1,2029,56762700,35380063,239721,1830,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,512729,512647,-1,0
3,825,12649226,26777,252,166,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,1,0,5,1364,1246,-1,3
1,873,18904726,18956998,1025,226,0,0,0,0,0,0,392,4,5,0,0,0,0,1,0,0,0,0,0,1,0,6,2780,2682,-1,3
4,352546,46498038,91920837,215851,2887,0,0,0,0,4,556,789302,38,4,0,0,0,0,4,65767,657678,65767,657678,65767,1,0,10,674300,674163,-1,0
2,5790,130159388,136713637,251500,2900,0,0,0,0,108,3939502,4870,69,5,0,0,0,0,2,423,4236,423,4236,423,1,0,6,667328,667193,-1,0
2,3465,82027005,84578875,411526,1757,0,0,0,0,78,5168,4202668,119,5,0,0,0,0,2,0,0,0,0,0,1,0,6,656040,655914,-1,0
3,172953,13594083,12674317,151160,735,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,6303353,0,6303353,0,1,0,6,641183,641067,-1,0
2,77,10505,10547,78,71,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,1,0,6,30151,30061,-1,3
4,259,27589,6323959,328,176,0,0,0,0,13,1281,1277,13,5,0,0,0,0,4,65734,6303287,65734,6303287,65734,1,0,6,1308,1209,-1,2
3,182180,190488731,226606645,292737,2907,0,0,0,0,2,278,560,4,4,0,0,0,0,3,0,0,0,0,0,1,0,6,674557,674420,-1,0
3,2651,31721205,19149185,2810,1776,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,1,0,6,12589,12469,-1,1
1,6221,126256781,169831648,415422,2837,0,0,0,0,38,2528,1051842,44,5,0,0,0,0,1,0,0,0,0,0,1,0,8,672769,672632,-1,0
1,1900,258748,113826458,6571,2816,0,0,0,0,4,556,3677115,99,5,0,0,0,0,1,0,0,0,0,0,1,0,6,23691,23552,-1,1
1,293,31773,18948742,912,216,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,1,0,4,2793,2680,-1,3
2,524,6327566,18936092,771,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,2367,2272,-1,2
1,2743,31740278,31754599,2940,2092,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,11654,11523,-1,1
2,3076,63125992,93125736,415635,1587,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,992079,991955,-1,0
2,891,115295,19043825,1689,1192,0,0,0,0,4,556,556,4,5,0,0,0,0,3,29,294,29,294,29,1,0,104,4612,4468,-1,4
2,65,8842,8952,63,56,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,1,0,5,358,263,-1,2
1,282,6311008,6335591,471,216,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,1,0,4,1671,1572,-1,2
1,1109,31533617,22678463,238465,1120,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,509286,509205,-1,0
4,351914,40147292,91061692,215029,2537,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,4,668410,668274,-1,0
1,143,18898,6329395,420,156,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,1,0,4,2071,1969,-1,3
1,3717,75746138,101130428,5427,2182,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,1,0,5,19376,19152,-1,4
2,186737,39467069,36693459,120912,2210,0,0,0,0,3,856,856,3,5,0,0,0,0,2,0,0,0,0,0,1,0,6,515621,515534,-1,0
2,5682,126219886,136708487,251429,2890,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,4,667137,667002,-1,0
4,348827,14692092,21491470,210875,827,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,1,0,5,641560,641442,-1,0
1,5667,119927306,149838910,414583,2577,0,0,0,0,0,0,280,2,4,0,0,0,0,1,0,0,0,0,0,1,0,6,669051,668915,-1,0
4,350456,21140521,59450547,213267,1837,0,0,0,0,2,278,560,4,4,0,0,0,0,4,0,0,0,0,0,1,0,4,657163,657037,-1,0
4,349814,14825130,76080549,158337,2330,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,6,660674,660539,-1,0
4,349355,14761285,57083699,157032,1630,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,6,651761,651637,-1,0
2,202,26576,26604,202,236,0,0,0,0,4,560,630,5,5,0,0,0,0,2,0,0,0,0,0,1,0,6,232062,232000,-1,3
3,1385,12729271,37958801,2317,1141,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,148,0,148,0,1,0,5,7452,7255,-1,4
1,1939,31590495,69477408,246883,1335,0,0,0,0,55,3650,2364542,74,5,0,0,0,0,1,630328,6310372,630328,6310372,630328,1,0,8,648465,648341,-1,0
2,285754,112917341,25551356,305485,2070,0,0,0,0,4,556,278,2,4,0,0,0,0,4,475,13175,475,13175,475,1,0,5,960257,960118,-1,0
1,59659,3221858,3237706,59773,136,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,8,119960,119856,-1,3
1,3747,82046511,99301251,412062,1877,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,1,0,6,657523,657396,-1,0
2,1898,12801324,38082910,3582,1926,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,11208,11081,-1,1
3,119264,36569768,51162847,316842,1227,0,0,0,0,5,598,556,4,4,0,0,0,0,3,0,0,0,0,0,1,0,5,986165,986041,-1,0
1,1938,264030,120150413,7005,2876,0,0,0,0,2,278,4119,56,5,0,0,0,0,1,0,0,0,0,0,1,0,5,24239,24100,-1,1
3,175548,70420489,25339676,151986,1295,0,0,0,0,2,278,280,2,4,0,0,0,0,3,0,0,0,0,0,1,0,6,647540,647416,-1,0
4,352514,46493590,91114486,215597,2837,0,0,0,0,4,556,2808,40,5,0,0,0,0,4,0,0,0,0,0,1,0,8,672769,672632,-1,0
4,349740,14777805,40457686,211869,1347,0,0,0,0,2,278,560,4,4,0,0,0,0,4,0,0,0,0,0,1,0,4,650115,649989,-1,0
2,186452,39434045,36659901,120619,1930,0,0,0,0,145,5777159,280,2,5,0,0,0,0,2,0,0,0,0,0,1,0,5,513138,513056,-1,0
2,185358,26755381,30315773,120153,1480,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,4,511463,511382,-1,0
3,350,31288,6318144,282,116,0,0,0,0,49,3803,2889495,81,4,0,0,0,0,3,0,0,0,0,0,1,0,7,56659,56563,-1,3
2,948,25231025,22958160,245315,1075,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,1,0,4,644814,644690,-1,0
3,177972,114652671,112962266,287670,1837,0,0,0,0,2,278,560,4,5,0,0,0,0,3,0,0,0,0,0,1,0,4,657163,657037,-1,0
3,133,17896,17896,133,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,1,0,7,117989,117886,-1,3
4,6310,19237939,6482930,3226,166,0,0,0,0,189,10546,5578,97,5,0,0,0,0,4,507,151573,507,151573,507,1,0,10,12981,12878,-1,2
2,188,6304558,17158375,407680,717,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,8077,0,8077,0,1,0,6,640653,640535,-1,0
2,184373,14075871,11338559,119077,840,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,4,507307,507231,-1,0
4,289,25432,12079,90,86,0,0,0,0,87,5860,322,3,5,0,0,0,0,5,0,0,0,0,0,1,0,8,1339,1240,-1,3
1,65,9068,9078,66,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,1,0,6,1176,1091,-1,2
1,4187,82076738,117676908,249628,2170,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,1,0,4,658063,657932,-1,0
2,4471,75873012,197866,1462,2136,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,1,0,4,14248,14117,-1,1
2,4060,69559369,56967805,3929,1742,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,1,0,4,15049,14823,-1,4
4,348989,14705759,27800319,211090,887,0,0,0,0,4,556,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,5,642097,641979,-1,0
